palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
origen,2.2,1.8,1.8,0.4472,0.4472,0.8367,sustantivo
actual,2,1.8,2.2,0,0.4472,0.8367,adjetivo
bello,2.8,1.6,2.6,0.4472,0.8944,0.8944,adjetivo
mayoría,1.8,2,2.4,0.4472,0.7071,0.8944,sustantivo
área,2.2,1.4,2.6,0.4472,0.5477,0.8944,sustantivo
chico,1.8,1.6,3,0.4472,0.5477,0,sustantivo
clase,2.4,2.2,2.6,0.5477,0.4472,0.8944,sustantivo
político,1.8,2.4,1.6,0.4472,0.5477,0.8944,adjetivo
internacional,2.2,1.8,2,0.4472,0.4472,1,adjetivo
especial,2.6,1.8,2.4,0.5477,0.8367,0.8944,adjetivo
sentimiento,2.4,2,2.2,0.5477,1,0.8367,sustantivo
alto,2.2,1.8,2.6,0.4472,0.8367,0.8944,adjetivo
nivel,2.2,2.2,2.4,0.4472,0.4472,0.8944,sustantivo
árbol,2.6,1.6,3,0.5477,0.5477,0,sustantivo
disco,2.4,2,3,0.5477,0.7071,0,sustantivo
pensamiento,2.6,2.4,2,0.5477,0.8944,1,sustantivo
cama,2.6,1.8,3,0.5477,0.8367,0,sustantivo
extraño,2.2,1.8,2.2,0.4472,0.8367,0.8367,adjetivo
superficie,2.2,1.6,2.6,0.4472,0.5477,0.8944,sustantivo
actividad,2.6,2.8,2.4,0.5477,0.4472,0.8944,sustantivo
programa,2,2.6,2.2,0,0.5477,0.8367,sustantivo
edificio,2,1.2,3,0,0.4472,0,sustantivo
estación,2.3333,1.5,2.6667,0.5164,0.5477,0.8165,sustantivo
hecho,2.1667,2.1667,1.6667,0.4082,0.7528,0.8165,sustantivo
mundial,2.3333,2.1667,2.5,0.5164,0.9832,0.8367,adjetivo
suelo,2.5,2,3,0.5477,0.6325,0,sustantivo
oficina,2.2,2,3,0.4472,0.7071,0,sustantivo
ventana,2.8,1.6,3,0.4472,0.5477,0,sustantivo
empresa,2,2.4,2.6,0,0.8944,0.8944,sustantivo
éxito,2.8,2.6,2.8,0.4472,0.5477,0.4472,sustantivo
ley,2,2.8,2.8,0,0.4472,0.4472,sustantivo
compañía,3,3,3,0,0,0,sustantivo
instante,2.4,2,2.8,0.5477,0,0.4472,sustantivo
sociedad,2.6,2.6,2.8,0.5477,0.5477,0.4472,sustantivo
versión,2,2,1.8,0,0,0.8367,sustantivo
lengua,2.2,2.8,2.8,0.4472,0.4472,0.4472,sustantivo
uso,2,2.6,2.4,0.7071,0.5477,0.8944,sustantivo
cantón,2.2,1.8,2.2,0.4472,0.4472,0.8367,sustantivo
vivo,2.5,2.8333,2.6667,0.5477,0.4082,0.5164,adjetivo
territorio,2.1667,1.6667,2.8333,0.4082,0.5164,0.4082,sustantivo
luna,2.8333,1.6667,3,0.4082,0.5164,0,sustantivo
vuelta,2.1667,2.5,2.5,0.4082,0.5477,0.5477,sustantivo
